Replicate,Day,Well_Num,Culture,Hgui_Alive_Num,Hgui_Dead_Num,Scer_Alive_Num,Scer_Dead_Num,Total_Cells,Hgui_Alive_Total_Alive,Scer_Alive_Total_Alive,Hgui_Dead_Total_Hgui,Scer_Dead_Total_Scer,Hgui_Alive_Total_Hgui,Scer_Alive_Total_Scer,AliveRatio_Hgui_Scer
3,6,B2,3920,3292,24254,24,2430,30000,0.992762364,0.007237636,0.880490815,0.990220049,0.119509185,0.009779951,137.1666667
3,6,B4,3842,7014,7018,12569,3399,30000,0.358167799,0.641832201,0.500142531,0.212863226,0.499857469,0.787136774,0.558039621
3,6,B6,3920,12963,14631,61,2345,30000,0.995316339,0.004683661,0.530223962,0.974646717,0.469776038,0.025353283,212.5081967
3,6,C1,3824,9957,12276,6237,1530,30000,0.614857355,0.385142645,0.552152206,0.196987254,0.447847794,0.803012746,1.596440596
3,6,C3,3984,3337,24501,112,2050,30000,0.967526819,0.032473181,0.880127883,0.948196115,0.119872117,0.051803885,29.79464286
3,6,C5,3852,2360,24560,14,3066,30000,0.99410278,0.00589722,0.912332838,0.995454545,0.087667162,0.004545455,168.5714286
3,6,D2,3911,12596,10973,5124,1307,30000,0.710835214,0.289164786,0.46556918,0.203234334,0.53443082,0.796765666,2.458235753
3,6,D3,b,364,1513,103,20,2000,0.779443255,0.220556745,0.806073522,0.162601626,0.193926478,0.837398374,3.533980583
3,6,D4,3824,2429,24302,1915,1354,30000,0.559162063,0.440837937,0.90913172,0.414193943,0.09086828,0.585806057,1.268407311
3,6,D6,3973,2611,26523,202,664,30000,0.928190544,0.071809456,0.910379625,0.766743649,0.089620375,0.233256351,12.92574257
3,6,E1,3842,3140,11201,12472,3187,30000,0.201127338,0.798872662,0.781047347,0.203525129,0.218952653,0.796474871,0.251763951
3,6,E3,3324m,5719,6713,12338,5230,30000,0.316719278,0.683280722,0.539977477,0.297700364,0.460022523,0.702299636,0.463527314
3,6,E5,3905,4416,6168,14378,5038,30000,0.234968607,0.765031393,0.58276644,0.25947672,0.41723356,0.74052328,0.307135902
3,6,F2,3905,14881,16841,9058,3829,44609,0.621621622,0.378378378,0.530893386,0.29712113,0.469106614,0.70287887,1.642857143
3,6,F4,3822,4490,24389,384,737,30000,0.921214608,0.078785392,0.844523702,0.657448707,0.155476298,0.342551293,11.69270833
3,6,F6,3984,2551,26503,22,924,30000,0.99144967,0.00855033,0.912197976,0.976744186,0.087802024,0.023255814,115.9545455
3,6,G1,3850,18733,11189,35,43,30000,0.998135124,0.001864876,0.373938908,0.551282051,0.626061092,0.448717949,535.2285714
3,6,G3,3324a,723,1691,15890,11696,30000,0.043520135,0.956479865,0.7004971,0.42398318,0.2995029,0.57601682,0.045500315
3,6,G5,3911,11343,13424,3916,1317,30000,0.743364572,0.256635428,0.542011548,0.251672081,0.457988452,0.748327919,2.896578141
3,6,H1,3324a,1361,1928,13416,13295,30000,0.092102592,0.907897408,0.586196412,0.497735016,0.413803588,0.502264984,0.101446035
3,6,H2,3852,18228,7490,53,4229,30000,0.997100815,0.002899185,0.29123571,0.987622606,0.70876429,0.012377394,343.9245283
3,6,H3,b,408,1529,19,44,2000,0.955503513,0.044496487,0.789364997,0.698412698,0.210635003,0.301587302,21.47368421
3,6,H4,3821,3686,21980,2636,1698,30000,0.583043341,0.416956659,0.85638588,0.391785879,0.14361412,0.608214121,1.398330804
3,6,H6,3324m,5308,4742,15589,4361,30000,0.254007752,0.745992248,0.471840796,0.218596491,0.528159204,0.781403509,0.340496504
1,7,A1,3324a,419,1691,15311,12579,30000,0.026636999,0.973363001,0.801421801,0.451021872,0.198578199,0.548978128,0.027365946
1,7,A3,3911,11085,16814,1089,1012,30000,0.910547068,0.089452932,0.602673931,0.481675393,0.397326069,0.518324607,10.17906336
1,7,A5,3824,3346,23522,940,2192,30000,0.780681288,0.219318712,0.875465237,0.699872286,0.124534763,0.300127714,3.559574468
1,7,A6,3984,8460,12472,199,8869,30000,0.977018131,0.022981869,0.59583413,0.978054698,0.40416587,0.021945302,42.51256281
1,7,B2,3905,2515,11297,10785,5403,30000,0.189097744,0.810902256,0.817911961,0.333765752,0.182088039,0.666234248,0.233194251
1,7,B4,3324m,20313,120836,9224,12557,162930,0.687713715,0.312286285,0.856088247,0.576511639,0.143911753,0.423488361,2.202189939
1,7,B6,3842,6142,11569,9560,2729,30000,0.391160362,0.608839638,0.65320987,0.222068517,0.34679013,0.777931483,0.642468619
1,7,C1,3821,11154,10453,5245,3148,30000,0.680163425,0.319836575,0.483778405,0.375074467,0.516221595,0.624925533,2.126596759
1,7,C3,3920,6285,16101,143,7471,30000,0.977753578,0.022246422,0.71924417,0.981218807,0.28075583,0.018781193,43.95104895
1,7,C5,3905,12311,8082,7921,1686,30000,0.608491499,0.391508501,0.39631246,0.175497033,0.60368754,0.824502967,1.554222952
1,7,D2,3852,2809,18201,79,8911,30000,0.972645429,0.027354571,0.866301761,0.991212458,0.133698239,0.008787542,35.55696203
1,7,D3,b,322,1412,163,103,2000,0.663917526,0.336082474,0.814302191,0.387218045,0.185697809,0.612781955,1.975460123
1,7,D4,3324a,661,1736,14704,12899,30000,0.04301985,0.95698015,0.724238632,0.467304279,0.275761368,0.532695721,0.044953754
1,7,D6,3911,17537,9883,1736,844,30000,0.909925803,0.090074197,0.360430343,0.327131783,0.639569657,0.672868217,10.10195853
1,7,E1,3822,11611,11248,3634,3507,30000,0.761626763,0.238373237,0.49206002,0.491107688,0.50793998,0.508892312,3.195101816
1,7,E3,3973,3328,19860,3217,3595,30000,0.508479756,0.491520244,0.856477488,0.527745156,0.143522512,0.472254844,1.034504196
1,7,E5,3852,12736,12269,193,4802,30000,0.985072318,0.014927682,0.490661868,0.961361361,0.509338132,0.038638639,65.98963731
1,7,F2,3850,39929,55681,11,772,96393,0.999724587,0.000275413,0.58237632,0.985951469,0.41762368,0.014048531,3629.909091
