Replicate,Day,Well_Num,Culture,Q1_Scer,Scer_Stained,Scer_Dead_Num,Hgui_Dead_Num,Hgui_Alive_Num,Scer_Alive_Num,Total_Cells,Hgui_Alive_Total_Alive,Per_Hgui_Alive_Total_Alive,Scer_Alive_Total_Alive,Per_Scer_Alive_Total_Alive,Hgui_Dead_Total_Hgui,Per_Hgui_Dead_Total_Hgui,Scer_Dead_Total_Scer,Per_Scer_Dead_Total_Scer,Scer_Alive_Total_Scer,Per_Scer_Alive_Total_Scer,Hgui_Alive_Total_Hgui,Per_Hgui_Alive_Total_Hgui
3,5,B6,3920,1457,20187,2547,5003,3353,17640,30000,0.1597199066355452,15.97199066355452,0.8402800933644549,84.02800933644549,0.5987314504547631,59.873145045476306,0.11767695435224543,11.767695435224542,0.815006468305304,81.5006468305304,0.40126854954523694,40.126854954523694
3,6,B6,3920,61,2345,461,14631,12963,1884,30000,0.8731056779147303,87.31056779147302,0.12689432208526974,12.689432208526974,0.5302239617308111,53.02239617308111,0.19160432252701579,19.16043225270158,0.7830423940149626,78.30423940149626,0.46977603826918896,46.977603826918894
3,8,B6,3920,71,26662,615,1790,1477,26047,30000,0.05366225839267548,5.366225839267548,0.9463377416073245,94.63377416073246,0.5479032751760025,54.79032751760025,0.0230052743799798,2.30052743799798,0.9743388321550144,97.43388321550144,0.45209672482399754,45.20967248239975
3,7,B6,3920,227,7881,840,13087,8805,7041,30000,0.5556607345702386,55.566073457023855,0.44433926542976143,44.433926542976145,0.5977982824776173,59.779828247761735,0.10360138135175136,10.360138135175136,0.8684015786877158,86.84015786877158,0.4022017175223826,40.22017175223826
1,6,C3,3920,120,12094,1289,12263,5523,10805,30000,0.3382533072023518,33.82533072023518,0.6617466927976482,66.17466927976481,0.6894748678736085,68.94748678736084,0.10553463238906173,10.553463238906174,0.8846405763877517,88.46405763877517,0.31052513212639155,31.052513212639155
3,5,C3,3984,127,6117,649,18670,5086,5468,30000,0.4819025961720675,48.19025961720675,0.5180974038279326,51.80974038279326,0.7859067183027446,78.59067183027446,0.10393978219090327,10.393978219090327,0.8757206918641897,87.57206918641897,0.21409328169725542,21.40932816972554
1,7,C3,3920,143,7471,1301,16101,6285,6170,30000,0.504616619831393,50.46166198313931,0.495383380168607,49.5383380168607,0.7192441704636826,71.92441704636826,0.17086945101129497,17.086945101129498,0.8103493564486473,81.03493564486473,0.28075582953631734,28.075582953631734
3,6,C3,3984,112,2050,484,24501,3337,1566,30000,0.6806037120130533,68.06037120130533,0.31939628798694675,31.939628798694674,0.8801278827501976,88.01278827501976,0.2238667900092507,22.38667900092507,0.7243293246993524,72.43293246993524,0.11987211724980243,11.987211724980243
1,8,C3,3920,149,27289,1167,1950,612,26122,30000,0.022892197202064788,2.289219720206479,0.9771078027979352,97.71078027979352,0.7611241217798594,76.11241217798595,0.042532254537502735,4.253225453750273,0.9520373205044099,95.20373205044099,0.2388758782201405,23.88758782201405
3,8,C3,3984,447,10507,1140,16474,2572,9367,30000,0.21542842784152777,21.54284278415278,0.7845715721584723,78.45715721584723,0.8649585214743253,86.49585214743253,0.10407157202848275,10.407157202848275,0.8551214168340332,85.51214168340331,0.1350414785256747,13.504147852567469
3,7,C3,3984,58,5059,1096,21502,3381,3963,30000,0.460375816993464,46.037581699346404,0.5396241830065359,53.96241830065359,0.8641241007917052,86.41241007917053,0.21418800078170802,21.4188000781708,0.7744772327535665,77.44772327535665,0.13587589920829482,13.587589920829481
1,9,C3,3920,208,28353,598,1164,275,27755,30000,0.009810916874777025,0.9810916874777025,0.990189083125223,99.0189083125223,0.8088950660180682,80.88950660180681,0.020937642239417388,2.0937642239417387,0.9717796995903505,97.17796995903505,0.1911049339819319,19.11049339819319
2,5,C5,3984,129,2221,832,13230,14420,1389,30000,0.9121386551964071,91.21386551964072,0.0878613448035929,8.786134480359289,0.47848101265822784,47.848101265822784,0.35404255319148936,35.40425531914894,0.591063829787234,59.1063829787234,0.5215189873417722,52.151898734177216
2,6,C5,3984,603,18012,3551,6848,4537,14461,30000,0.23881461206442783,23.881461206442783,0.7611853879355721,76.1185387935572,0.6014931927975407,60.14931927975407,0.1907601396723073,19.07601396723073,0.776846629062584,77.6846629062584,0.3985068072024594,39.85068072024594
3,5,C5,3852,62,15884,330,11892,2162,15554,30000,0.12203657710544141,12.20365771054414,0.8779634228945586,87.79634228945586,0.8461647929415114,84.61647929415113,0.020694845102219993,2.0694845102219994,0.9754170324846356,97.54170324846356,0.1538352070584887,15.383520705848868
2,7,C5,3984,617,17925,1554,4564,6894,16371,30000,0.29632495164410055,29.632495164410056,0.7036750483558994,70.36750483558994,0.3983243148891604,39.83243148891604,0.08380972926329415,8.380972926329415,0.8829144644590659,88.29144644590659,0.6016756851108396,60.16756851108396
3,6,C5,3852,14,3066,201,24560,2360,2865,30000,0.45167464114832534,45.167464114832534,0.5483253588516747,54.83253588516747,0.912332838038633,91.2332838038633,0.06525974025974025,6.525974025974025,0.9301948051948052,93.01948051948052,0.08766716196136701,8.7667161961367
2,9,C5,3984,2538,22364,1284,2884,2214,21080,30000,0.09504593457542715,9.504593457542715,0.9049540654245729,90.49540654245729,0.5657120439387995,56.571204393879945,0.05156212352421492,5.156212352421492,0.8465183519396032,84.65183519396032,0.43428795606120046,43.42879560612005
3,8,C5,3852,111,20810,547,7922,1157,20263,30000,0.05401493930905696,5.401493930905696,0.945985060690943,94.5985060690943,0.8725630576054632,87.25630576054631,0.026145977725730126,2.6145977725730125,0.9685483485493045,96.85483485493044,0.12743694239453685,12.743694239453685
2,8,C5,3984,1759,18939,1327,5400,3902,17612,30000,0.18137027052152088,18.13702705215209,0.8186297294784791,81.86297294784791,0.5805203182111374,58.05203182111374,0.06411247463523045,6.411247463523045,0.8509034689341965,85.09034689341965,0.41947968178886264,41.94796817888626
3,7,C5,3852,165,20820,414,7839,1176,20406,30000,0.05448985265499027,5.448985265499027,0.9455101473450097,94.55101473450097,0.8695507487520798,86.95507487520798,0.019728377412437454,1.9728377412437454,0.97240886347391,97.240886347391,0.13044925124792014,13.044925124792014
