"","Replicate","Day","Well_Num","Culture","Hgui_Alive_Num","Hgui_Dead_Num","Scer_Alive_Num","Scer_Dead_Num","Total_Cells","Hgui_totalprop","Scer_totalprop","norm_Hgui_totalprop"
"131","1",9,"G5","3850",6714,17742,639,4905,30000,0.8152,0.1848,0.835063823452793
"132","2",9,"D2","3324a",1294,2877,10144,15685,30000,0.139033333333333,0.860966666666667,0.0273988176443838
"133","2",9,"G3","3850",6846,12094,476,10584,30000,0.631333333333333,0.368666666666667,0.587085038653934
"134","2",9,"G5","3324a",1221,2227,11381,15171,30000,0.114933333333333,0.885066666666667,0
"135","2",9,"H1","3850",12772,17064,8,156,30000,0.994533333333333,0.00546666666666667,1
"136","1",5,"A3","3911",17586,10763,697,954,30000,0.944966666666667,0.0550333333333333,0.953090642560469
"137","1",5,"A5","3824",7292,20106,439,2163,30000,0.913266666666667,0.0867333333333333,0.919898083836515
"138","1",5,"B2","3905",4980,22184,855,1981,30000,0.905466666666667,0.0945333333333333,0.911730829639454
"139","1",5,"B4","3324m",54130,378841,8347,39240,480558,0.900975532610008,0.0990244673899925,0.90702823560435
"140","1",5,"B6","3842",7941,21394,193,472,30000,0.977833333333333,0.0221666666666667,0.987504799134411
"141","1",5,"C1","3821",12847,14559,739,1855,30000,0.913533333333333,0.0864666666666667,0.920177306202227
"142","1",5,"C5","3905",19613,9666,354,367,30000,0.975966666666667,0.0240333333333333,0.98555024257443
"143","1",5,"D6","3911",22326,7236,96,342,30000,0.9854,0.0146,0.995427733761474
"144","1",5,"E1","3822",15088,9621,1943,3348,30000,0.823633333333333,0.176366666666667,0.82604446616174
"145","1",5,"E3","3973",4409,18366,2005,5220,30000,0.759166666666667,0.240833333333333,0.758542459250986
"146","1",5,"F4","3821",20764,7504,1047,685,30000,0.942266666666667,0.0577333333333333,0.95026351610764
"147","1",5,"G1","3824",4976,22095,278,2651,30000,0.902366666666667,0.0976333333333333,0.908484869638058
"148","1",5,"H1","3324m",18131,9776,537,1556,30000,0.930233333333333,0.0697666666666667,0.937663606854909
"149","1",5,"H2","3842",24140,5042,504,314,30000,0.972733333333333,0.0272666666666667,0.982164671390178
"150","1",5,"H4","3822",13368,10632,2265,3735,30000,0.8,0.2,0.801298384000559
"151","1",5,"H6","3973",20303,9166,247,284,30000,0.9823,0.0177,0.992181773760078
"152","2",5,"A1","3905",4338,17448,4266,3948,30000,0.7262,0.2738,0.71004681310767
"153","2",5,"A3","3822",4451,20832,1778,2939,30000,0.842766666666667,0.157233333333333,0.835974072740367
"154","2",5,"A5","3973",13776,13111,1375,1738,30000,0.896233333333333,0.103766666666667,0.893734245588765
"155","2",5,"B2","3821",14299,11583,2146,1972,30000,0.862733333333333,0.137266666666667,0.857544112351458
"156","2",5,"B6","3842",3515,20277,2574,3634,30000,0.793066666666667,0.206933333333333,0.78228303925099
"157","2",5,"C1","3911",3526,24187,619,1668,30000,0.923766666666667,0.0762333333333333,0.92347857400072
"158","2",5,"D4","3911",10794,9977,5317,3912,30000,0.692366666666667,0.307633333333333,0.673496579042132
"159","2",5,"D6","3824",10407,13717,2472,3404,30000,0.804133333333333,0.195866666666667,0.79423838674829
"160","2",5,"E3","3842",2639,18659,2327,6375,30000,0.709933333333333,0.290066666666667,0.692473892689953
"161","2",5,"E5","3324m",4384,22739,1096,1781,30000,0.9041,0.0959,0.902232625135038
"162","2",5,"F2","3324m",2987,21086,1900,4027,30000,0.802433333333333,0.197566666666667,0.792401872524307
"163","2",5,"F4","3905",14536,13862,695,907,30000,0.9466,0.0534,0.948145480734606
"164","2",5,"F6","3822",4847,17915,3505,3733,30000,0.758733333333333,0.241266666666667,0.745192653943104
"165","2",5,"G1","3973",13245,12814,2234,1707,30000,0.868633333333333,0.131366666666667,0.863917897011163
"166","2",5,"H6","3821",2789,15271,7145,4795,30000,0.602,0.398,0.575873244508462
"167","3",5,"A1","3822",15642,11358,1730,1270,30000,0.9,0.1,0.895576504713561
"168","3",5,"A6","3821",4180,20735,3075,2010,30000,0.8305,0.1695,0.819978245105149
"169","3",5,"C1","3824",3304,20644,2942,3110,30000,0.798266666666667,0.201733333333333,0.784916606236403
